tar,exp,run,E,rho,mae,rmse,Jacobian
Dn,1,80,3,0.9149391567335909,0.2888216353011576,0.40061827424396607,0.7991746517704984
Pa,1,81,5,0.9225164831491094,0.27633153879082095,0.3894479356132628,-0.3841694716097465
Dn,1,81,3,0.9100682100298438,0.2818234872687871,0.41206578224373774,0.867536779792416
Pa,1,82,2,0.9383997151587486,0.25069708537389396,0.3422813899595187,-0.23928040249371296
Dn,1,82,3,0.9346733892829939,0.25763078653488614,0.35289393599948876,0.9007788087759957
Pa,1,83,2,0.9315632060141195,0.266972172224975,0.36075734367177337,-0.44666743774568046
Dn,1,83,2,0.9315849894840821,0.2671055483158087,0.3607587096401623,0.6839778465420213
Pa,1,84,3,0.9325452265218159,0.2719861406949843,0.3610115525080259,-0.4028583029786975
Dn,1,84,2,0.9204791730075135,0.28434118015572984,0.3867403459805709,0.879139231535092
Pa,1,85,2,0.9331683755367559,0.2703646071631027,0.3601487292390489,-0.6676586636973851
Dn,1,85,2,0.9331741164632574,0.2703479417090371,0.36014874186999696,0.8711098577052845
Pa,1,86,2,0.9132391443835565,0.27207551412061665,0.40424008126464855,-0.27812810012182176
Dn,1,86,2,0.913244466688426,0.27201385274242623,0.40423979661685927,0.8362769281615494
Pa,1,87,2,0.9206274431084467,0.264391101156379,0.38741251831134765,-0.24563011398821866
Dn,1,87,4,0.9203280686752109,0.2854097635252969,0.39389883684357363,0.7051076145030132
Pa,1,88,2,0.8993892889715336,0.30545342577629997,0.432793064690922,-0.34332094452065204
Dn,1,88,3,0.894227102659697,0.31555143294777493,0.44459517762868983,0.8147431123839963
Pa,1,89,3,0.9321743387892779,0.27476011102659953,0.359964765228888,-0.4115596858418393
Dn,1,89,3,0.9080633107704358,0.2845753432747314,0.4164520958501734,0.7974377116994176
Pa,1,90,2,0.919403622344637,0.28373535346657547,0.39014300657900414,-0.2895504707732276
Dn,1,90,2,0.9194036792984106,0.2837215128917555,0.3901440537264474,0.8471236128719419
Pa,1,91,2,0.9174188998481245,0.2774884967238794,0.39375973652335783,-0.22891296324621058
Dn,1,91,3,0.9120437391922547,0.28563477164869683,0.4077078420289019,0.8875670840600182
Pa,1,92,2,0.9087867799578104,0.2930104501992403,0.41401293834560754,-0.3202058195768827
Dn,1,92,2,0.908775655124386,0.29303789232676747,0.4140123864296851,0.8405999950477766
Pa,1,93,2,0.9432218142065532,0.24448856293158938,0.3292130195723639,-0.06960779257888335
Dn,1,93,2,0.94322213620251,0.24432064051611055,0.3292161131420866,0.9207074600795787
Pa,1,94,4,0.9294656066578304,0.2746403610496455,0.372089398955768,-0.2673167011887919
Dn,1,94,3,0.9067782455790029,0.29759480555150086,0.4191478114669856,0.8304521776462829
Pa,1,95,3,0.9318242710633001,0.26317207054050007,0.36112407283368514,-0.39295718876340985
Dn,1,95,3,0.9127504435963514,0.29211554297088205,0.40580259671097885,0.8348674175528421
Pa,1,96,2,0.9242820058789504,0.29181496286753217,0.38042217555527646,-0.4939715909186746
Dn,1,96,2,0.9241941081012959,0.29159404874674744,0.3804455302176444,0.9892544997085463
Pa,1,97,3,0.9365604663756255,0.2588148775809705,0.34923382248142726,-0.3832885288101325
Dn,1,97,3,0.9222264487234121,0.2745278481185839,0.3846216773986117,0.30949026882142916
Pa,1,98,3,0.9355428399859974,0.2637405808999351,0.35208403471156224,-0.3966358495798975
Dn,1,98,2,0.9216185487310034,0.2691724497286576,0.3857974752023918,0.8445178954346252
Pa,1,99,3,0.9283620938048396,0.27619602209074845,0.37039688316705144,-0.3752002642139813
Dn,1,99,4,0.9135679178529007,0.2873433874856555,0.4075561318849104,0.6546197759041844
Pa,1,100,2,0.9301752027078346,0.2640577757883712,0.36493578486433786,-0.2691753334809061
Dn,1,100,2,0.9301784771555981,0.26398591861143067,0.3649345948021047,0.8172260355668767
Pa,2,1,8,0.9457632274561383,0.2285117942069005,0.28730857837014057,-0.23647048211545704
Dn,2,1,2,0.8990844256962507,0.3304288960732896,0.4276787248439988,0.8172497104499531
