method,len,repNo,time,rho,mae,rmse,rho_coef,mae_coef,rmse_coef
LMD,150,1,8.439999999999998,0.9835142407546544,0.030117248521214595,0.03979600640867204,0.26708462506224623,0.06661766442230886,0.10273890176749116
MVD,150,1,15.373000000000005,0.976935691208025,0.03462320466311628,0.04717098071317664,0.9046987694974843,0.6627745238740348,0.8289223067802736
MVD,150,1,15.373000000000005,0.976935691208025,0.03462320466311628,0.04717098071317664,-0.13397664367686715,0.1298599794882958,0.20357984115802388
MVD,150,1,15.373000000000005,0.976935691208025,0.03462320466311628,0.04717098071317664,-0.2541046761552449,0.13655247457106254,0.20119235661858378
MVD,150,1,15.373000000000005,0.976935691208025,0.03462320466311628,0.04717098071317664,0.026836376251728442,0.19888732085297733,0.34146006917814203
MVD,150,1,15.373000000000005,0.976935691208025,0.03462320466311628,0.04717098071317664,-0.05987462931699545,0.2284726932719187,0.597930355695408
LMD,200,1,13.963000000000001,0.9771295916893659,0.03570307358189151,0.0477103249173186,0.9756535294782056,0.44957426496366765,0.5603522107847599
LMD,200,1,13.963000000000001,0.9771295916893659,0.03570307358189151,0.0477103249173186,-0.4610182173677916,0.13002283414853086,0.19412256033305542
LMD,200,1,13.963000000000001,0.9771295916893659,0.03570307358189151,0.0477103249173186,0.06037899626871102,0.06159779307098061,0.10063142057500234
LMD,200,1,13.963000000000001,0.9771295916893659,0.03570307358189151,0.0477103249173186,-0.16480946955590856,0.08679671949124998,0.11114690569882844
LMD,200,1,13.963000000000001,0.9771295916893659,0.03570307358189151,0.0477103249173186,-0.2809583684329701,0.14425677427788117,0.20120458058956342
MVD,200,1,24.811999999999998,0.9697567854760484,0.03977235697273998,0.054968804463206386,0.9181762265935254,0.7238567616379689,0.8870703351577649
MVD,200,1,24.811999999999998,0.9697567854760484,0.03977235697273998,0.054968804463206386,-0.25034540714858444,0.15060114859614052,0.21099528703299456
MVD,200,1,24.811999999999998,0.9697567854760484,0.03977235697273998,0.054968804463206386,-0.07790856509272374,0.08922653466344244,0.13100180451782673
MVD,200,1,24.811999999999998,0.9697567854760484,0.03977235697273998,0.054968804463206386,-0.0448417294256691,0.16320036247858147,0.2552444521278872
MVD,200,1,24.811999999999998,0.9697567854760484,0.03977235697273998,0.054968804463206386,-0.010655934364356853,0.17542239442931018,0.27915042735972956
LMD,250,1,20.924999999999997,0.9778720034794638,0.03443948990247268,0.04593535189304506,0.9721858099121445,0.5360693092288863,0.6636941408580639
LMD,250,1,20.924999999999997,0.9778720034794638,0.03443948990247268,0.04593535189304506,-0.43079428813671006,0.06723441617675405,0.08364774259458962
LMD,250,1,20.924999999999997,0.9778720034794638,0.03443948990247268,0.04593535189304506,0.9543768753600911,0.0952204939156739,0.12267006468456199
LMD,250,1,20.924999999999997,0.9778720034794638,0.03443948990247268,0.04593535189304506,0.45211875124094664,0.032964492269817486,0.04564695137206706
LMD,250,1,20.924999999999997,0.9778720034794638,0.03443948990247268,0.04593535189304506,-0.27382177601933,0.05216073365074916,0.07968646154027342
MVD,250,1,37.87300000000002,0.9756638786168261,0.034919361415689285,0.048446743957385546,0.9368041792536098,0.721257466221451,0.8492028350256438
MVD,250,1,37.87300000000002,0.9756638786168261,0.034919361415689285,0.048446743957385546,-0.43474278810929695,0.14728352754273977,0.2388856521845841
MVD,250,1,37.87300000000002,0.9756638786168261,0.034919361415689285,0.048446743957385546,0.6885004347163807,0.1107399190084332,0.15082145899371704
MVD,250,1,37.87300000000002,0.9756638786168261,0.034919361415689285,0.048446743957385546,0.23549185465301425,0.11451943234175346,0.16317473107087557
MVD,250,1,37.87300000000002,0.9756638786168261,0.034919361415689285,0.048446743957385546,0.06515930736240927,0.11158903512022149,0.18817491043966653
LMD,50,2,1.7849999999999966,0.9823216176743554,0.030612911711385492,0.03982599748855077,0.9696627129379696,0.6994758166410658,0.8886228920248463
LMD,50,2,1.7849999999999966,0.9823216176743554,0.030612911711385492,0.03982599748855077,0.1455649893427143,0.0829755465591646,0.10577952779846388
LMD,50,2,1.7849999999999966,0.9823216176743554,0.030612911711385492,0.03982599748855077,-0.013034570198231395,0.07220490340899184,0.09253247830421323
LMD,50,2,1.7849999999999966,0.9823216176743554,0.030612911711385492,0.03982599748855077,-0.6277426835391807,0.2495523378500393,0.2649922267212086
LMD,50,2,1.7849999999999966,0.9823216176743554,0.030612911711385492,0.03982599748855077,0.36685199231201027,0.19609843790225873,0.24785183436310132
MVD,50,2,4.505000000000024,0.9820187886529999,0.030542673417994187,0.04069114187946858,0.9698525609466502,0.6533336490316776,0.8138063392189915
MVD,50,2,4.505000000000024,0.9820187886529999,0.030542673417994187,0.04069114187946858,0.37525504570593954,0.2102961405427247,0.2897976225137998
MVD,50,2,4.505000000000024,0.9820187886529999,0.030542673417994187,0.04069114187946858,0.12795903656834004,0.1293550773716318,0.16492554763617326
MVD,50,2,4.505000000000024,0.9820187886529999,0.030542673417994187,0.04069114187946858,-0.5812796040615835,0.20901956963177074,0.23688624736348143
MVD,50,2,4.505000000000024,0.9820187886529999,0.030542673417994187,0.04069114187946858,0.672404821590143,0.2472757280854453,0.300583014741779
