system,p_noise,o_noise,dist,rho,mae,rmse,tar,Jacobian,rho_coef,mae_coef,rmse_coef
predatorFR,0.001,0.101,Geodesic,0.9756574215512996,0.03614593418562806,0.04785475484529609,x2,C3,NA,0.12461662191056616,0.19235864325344904
predatorFR,0.001,0.101,Multiview,0.9805341383962222,0.03269093170552036,0.04281293322798889,x2,C1,-0.40616747822762694,0.1192573109663672,0.16222282106211247
predatorFR,0.001,0.101,Multiview,0.9805341383962222,0.03269093170552036,0.04281293322798889,x2,C2,0.9494917862697236,0.5449360060666456,0.6777781088694795
predatorFR,0.001,0.101,Multiview,0.9805341383962222,0.03269093170552036,0.04281293322798889,x2,C3,NA,0.0731737063671832,0.09423203530152292
predatorFR,0.001,0.101,LMD,0.9813778419332188,0.03124769457317657,0.04164513873494313,x2,C1,-0.32513551956548076,0.07152878214691627,0.08938706543245233
predatorFR,0.001,0.101,LMD,0.9813778419332188,0.03124769457317657,0.04164513873494313,x2,C2,0.9683282552075306,0.3648400032538367,0.4900277755142281
predatorFR,0.001,0.101,LMD,0.9813778419332188,0.03124769457317657,0.04164513873494313,x2,C3,NA,0.04300847429167732,0.05050810690626222
predatorFR,0.001,0.101,Euclidean,0.9619401787524484,0.04366442877827892,0.05767644333912177,x3,C1,0.42535827408336746,0.11090019255711858,0.14564031568191074
predatorFR,0.001,0.101,Euclidean,0.9619401787524484,0.04366442877827892,0.05767644333912177,x3,C2,NA,0.1313125072055465,0.16555878046213637
predatorFR,0.001,0.101,Euclidean,0.9619401787524484,0.04366442877827892,0.05767644333912177,x3,C3,0.95246797786517,0.43844460547150377,0.5459242833551855
predatorFR,0.001,0.101,Geodesic,0.962098395032804,0.04326187257951106,0.05735895948402125,x3,C1,0.4651164677027297,0.10921770414879176,0.1437054608411482
predatorFR,0.001,0.101,Geodesic,0.962098395032804,0.04326187257951106,0.05735895948402125,x3,C2,NA,0.13184532808052876,0.16544348991023244
